,title,release_year,locations,locations_formatted,formatted_address,lat,long
102,Blue Jasmine,2013,The Ramp Restaurant,"The Ramp Restaurant, San Francisco, CA","855 Terry A Francois Blvd, San Francisco, CA 94158, USA",37.7641206,-122.3867726
103,Blue Jasmine,2013,303-305 S. Van Ness,"303-305 S. Van Ness, San Francisco, CA","305 S Van Ness Ave, San Francisco, CA 94103, USA",37.7682683,-122.4176369
104,Blue Jasmine,2013,3563 20th St.,"3563 20th St., San Francisco, CA","3563 20th St, San Francisco, CA 94110, USA",37.7584616,-122.420399
105,Blue Jasmine,2013,Taylor & Green St.,"Taylor and Green St., San Francisco, CA","Green St & Taylor St, San Francisco, CA 94133, USA",37.7989091,-122.4139396
106,Blue Jasmine,2013,Grant & Washington St.,"Grant and Washington St., San Francisco, CA","Washington St & Grant Ave, San Francisco, CA 94108, USA",37.7951563,-122.4064963
107,Blue Jasmine,2013,2934 24th St.,"2934 24th St., San Francisco, CA","2934 24th St, San Francisco, CA 94110, USA",37.7529414,-122.4107027
108,Blue Jasmine,2013,1138 Alabama St,"1138 Alabama St, San Francisco, CA","1138 Alabama St, San Francisco, CA 94110, USA",37.75367,-122.4112992
109,Blue Jasmine,2013,South Park,"South Park, San Francisco, CA","S Park St, San Francisco, CA 94107, USA",37.7814786,-122.3938466
110,Blue Jasmine,2013,2915 16th St.,"2915 16th St., San Francisco, CA","2915 16th St, San Francisco, CA 94103, USA",37.7650165,-122.4179625
111,Blue Jasmine,2013,Trolley Car from Market and 11th,"Trolley Car from Market and 11th, San Francisco, CA","270 11th St, San Francisco, CA 94103, USA",37.7722481,-122.414743
112,Blue Jasmine,2013,Real Guitars,"Real Guitars, San Francisco, CA","15 Lafayette St, San Francisco, CA 94103, USA",37.7734127,-122.4174864
113,Blue Jasmine,2013,Aub Zam Zam Bar,"Aub Zam Zam Bar, San Francisco, CA","1633 Haight St, San Francisco, CA 94117, USA",37.769619,-122.449291
114,Blue Jasmine,2013,790 Ulloa ,"790 Ulloa , San Francisco, CA","790 Ulloa St, San Francisco, CA 94127, USA",37.7408258,-122.4646626
115,Blue Jasmine,2013,SFO International Airport Terminal 3,"SFO International Airport Terminal 3, San Francisco, CA","San Francisco International Airport (SFO), San Francisco, CA 94128, USA",37.6213129,-122.3789554
116,Blue Jasmine,2013,2178 Palou Ave.,"2178 Palou Ave., San Francisco, CA","2178 Palou Ave, San Francisco, CA 94124, USA",37.7406288,-122.4015231
117,Boys and Girls,2000,1122 Folsom Street,"1122 Folsom Street, San Francisco, CA","1122 Folsom St, San Francisco, CA 94103, USA",37.7764013,-122.4087109
118,Boys and Girls,2000,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","666 Filbert Street, Washington Square, San Francisco, CA","Washington Square, Filbert St & Stockton St, San Francisco, CA 94133, USA",37.8008473,-122.4099791
119,Boys and Girls,2000,Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA","Golden Gate Bridge, San Francisco, CA, USA",37.8194509,-122.4784353
120,Boys and Girls,2000,Fisherman's Wharf,"Fisherman's Wharf, San Francisco, CA","Fisherman's Wharf, San Francisco, CA, USA",37.8079996,-122.4177434
121,Summertime,2015,Duboce Park,"Duboce Park, San Francisco, CA","Duboce Park, San Francisco, CA, USA",37.769551,-122.433214
122,Boys and Girls,2000,Ferry Building,"Ferry Building, San Francisco, CA","San Francisco Ferry Bldg, One Ferry Building, San Francisco, CA 94111, USA",37.7955703,-122.3933208
123,Boys and Girls,2000,Coit Tower,"Coit Tower, San Francisco, CA","1 Telegraph Hill Blvd, San Francisco, CA 94133, USA",37.8023949,-122.4058222
124,Boys and Girls,2000,City Hall,"City Hall, San Francisco, CA","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646
125,Boys and Girls,2000,Lombard Street,"Lombard Street, San Francisco, CA","Lombard St, San Francisco, CA, USA",37.8009561,-122.4270201
126,Boys and Girls,2000,Chinatown,"Chinatown, San Francisco, CA","Chinatown, San Francisco, CA, USA",37.7941378,-122.4077914
127,Boys and Girls,2000,Aquatic Park (Jefferson Street),"Aquatic Park, San Francisco, CA","890 Beach St, San Francisco, CA 94109, USA",37.8064236,-122.4239802
128,Boys and Girls,2000,Alcatraz Island,"Alcatraz Island, San Francisco, CA","San Francisco, CA 94133, USA",37.8269775,-122.4229555
129,Boys and Girls,2000,628 Cole Street,"628 Cole Street, San Francisco, CA","628 Cole St, San Francisco, CA 94117, USA",37.769226,-122.4504325
130,Broken-A Modern Love Story ,2010,Ina Coolbrith Park (1700 Taylor Street),"1700 Taylor Street, San Francisco, CA","1700 Taylor St, San Francisco, CA 94133, USA",37.7980431,-122.4137575
131,Broken-A Modern Love Story ,2010,0-100 block Halleck Street,"0-100 block Halleck Street, San Francisco, CA","0 Halleck St, San Francisco, CA 94129, USA",37.803479,-122.4542968
132,Cardinal X,2015,812 22nd St. and Tennessee,"812 22nd St. and Tennessee, San Francisco, CA","22nd St & Tennessee St, San Francisco, CA 94107, USA",37.7578889,-122.3892762
133,Cardinal X,2015,3639 Taraval St,"3639 Taraval St, San Francisco, CA","3639 Taraval St, San Francisco, CA 94116, USA",37.7415828,-122.5053758
134,Cardinal X,2015,1458 33rd Ave.,"1458 33rd Ave., San Francisco, CA","1458 33rd Ave, San Francisco, CA 94122, USA",37.7599569,-122.4916527
135,Cardinal X,2015,Lyon at Chestnut St.,"Lyon at Chestnut St., San Francisco, CA","Chestnut St & Lyon St & San Francisco Bicycle Rte 4, San Francisco, CA 94123, USA",37.7993888,-122.4475098
136,Cardinal X,2015,1559 Underwood Avenue between Lane and Keith,"1559 Underwood Avenue and Lane , San Francisco, CA","1559 Underwood Ave, San Francisco, CA 94124, USA",37.729144,-122.391257
137,Cardinal X,2015,1465 Revere Avenue between Keith and Jennings,"1465 Revere Avenue and Keith , San Francisco, CA","Revere Ave & Keith St, San Francisco, CA 94124, USA",37.7306138,-122.3883183
138,Cardinal X,2015,1601 Lane St.,"1601 Lane St., San Francisco, CA","1601 Lane St, San Francisco, CA 94124, USA",37.7318281,-122.3896976
139,Cardinal X,2015,420 Mason St.,"420 Mason St., San Francisco, CA","420 Mason St, San Francisco, CA 94102, USA",37.7875662,-122.409595
140,Cardinal X,2015,119 Utah,"119 Utah, San Francisco, CA","119 Utah St, San Francisco, CA 94103, USA",37.7674562,-122.4069221
141,Cardinal X,2015,100 Alemany Blvd.,"100 Alemany Blvd., San Francisco, CA","100 Alemany Blvd, San Francisco, CA 94110, USA",37.7357554,-122.4098815
142,Casualties of War,1989,Mission Dolores Park (Mission District) via J-Church MUNI Train,"Mission Dolores Park, San Francisco, CA","Mission Dolores Park, Dolores St & 19th St, San Francisco, CA 94114, USA",37.7596168,-122.4269038
143,Class Action,1991,"Mission Dolores (3321 16th Street, Mission District)","3321 16th Street, Mission District, San Francisco, CA","3321 16th St, San Francisco, CA 94114, USA",37.7643849,-122.4275054
144,Class Action,1991,City Hall,"City Hall, San Francisco, CA","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646
145,Class Action,1991,Bix Restaurant (56 Gold Street),"56 Gold Street, San Francisco, CA","56 Gold St, San Francisco, CA 94133, USA",37.7968703,-122.4029418
146,Common Threads: Stories From the Quilt,1989,The Castro,"The Castro, San Francisco, CA","The Castro, San Francisco, CA, USA",37.7609082,-122.4350043
147,Copycat,1995,Treasure Island,"Treasure Island, San Francisco, CA","Treasure Island, San Francisco, CA, USA",37.8235515,-122.370648
